subject_id	object_id	object_id	predicate_id	predicate_id	mapping_justification	mapping_justification	match_string	mapping_tool	mapping_date
HP:0030955	NCIT:C93040	mesh:D000437	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0001973	umls_ingest	2023-11-27
HP:0001948	NCIT:C37909	mesh:D000471	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0002063	umls_ingest	2023-11-27
HP:0001950	NCIT:C50729	mesh:D000472	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0002064	umls_ingest	2023-11-27
HP:0001596	NCIT:C50575	mesh:D000505	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0002170	umls_ingest	2023-11-27
HP:0002293	NCIT:C50575	mesh:D000505	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0002170	umls_ingest	2023-11-27
HP:0006516	NCIT:C34369	mesh:D000542	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0002390	umls_ingest	2023-11-27
HP:0002511	NCIT:C2866	mesh:D000544	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0002395	umls_ingest	2023-11-27
HP:0000646	NCIT:C118764	mesh:D000550	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0002418	umls_ingest	2023-11-27
HP:0009827	NCIT:C34370	mesh:D004480	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0002447	umls_ingest	2023-11-27
HP:0000141	NCIT:C61443	mesh:D000568	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0002453	umls_ingest	2023-11-27
HP:0033690	NCIT:C34372	mesh:D000648	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0002624	umls_ingest	2023-11-27
HP:0011034	NCIT:C2868	mesh:D000686	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0002726	umls_ingest	2023-11-27
HP:0007354	NCIT:C34373	mesh:D000690	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0002736	umls_ingest	2023-11-27
HP:0100845	NCIT:C107101	mesh:D000707	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0002792	umls_ingest	2023-11-27
HP:0001903	NCIT:C2869	mesh:D000740	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0002871	umls_ingest	2023-11-27
HP:0001915	NCIT:C2870	mesh:D000741	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0002874	umls_ingest	2023-11-27
HP:0004810	NCIT:C84646	mesh:D000742	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0002876	umls_ingest	2023-11-27
HP:0001878	NCIT:C34376	mesh:D000743	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0002878	umls_ingest	2023-11-27
