subject_id	object_id	predicate_id	mapping_justification	match_string	mapping_tool	mapping_date
hp:HP:0006308	mesh:D016301	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002382	umls_ingest	2023-09-06
hp:HP:0006516	mesh:D000542	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002390	umls_ingest	2023-09-06
hp:HP:0002511	mesh:D000544	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002395	umls_ingest	2023-09-06
hp:HP:0000646	mesh:D000550	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002418	umls_ingest	2023-09-06
hp:HP:0009827	mesh:D004480	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002447	umls_ingest	2023-09-06
hp:HP:0000705	mesh:D000567	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002452	umls_ingest	2023-09-06
hp:HP:0000141	mesh:D000568	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002453	umls_ingest	2023-09-06
hp:HP:0033690	mesh:D000648	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002624	umls_ingest	2023-09-06
hp:HP:0011034	mesh:D000686	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002726	umls_ingest	2023-09-06
hp:HP:0007354	mesh:D000690	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002736	umls_ingest	2023-09-06
hp:HP:0100845	mesh:D000707	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002792	umls_ingest	2023-09-06
hp:HP:0001903	mesh:D000740	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002871	umls_ingest	2023-09-06
hp:HP:0001915	mesh:D000741	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002874	umls_ingest	2023-09-06
hp:HP:0004810	mesh:D000742	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002876	umls_ingest	2023-09-06
hp:HP:0001878	mesh:D000743	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002878	umls_ingest	2023-09-06
hp:HP:0001890	mesh:D000744	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002880	umls_ingest	2023-09-06
hp:HP:0004804	mesh:D000745	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002881	umls_ingest	2023-09-06
hp:HP:0001931	mesh:D000747	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002884	umls_ingest	2023-09-06
hp:HP:0001972	mesh:D000748	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002886	umls_ingest	2023-09-06
hp:HP:0001889	mesh:D000749	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002888	umls_ingest	2023-09-06
hp:HP:0005505	mesh:D000753	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002893	umls_ingest	2023-09-06
hp:HP:0001924	mesh:D000756	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002896	umls_ingest	2023-09-06
hp:HP:0002323	mesh:D000757	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002902	umls_ingest	2023-09-06
hp:HP:0002617	mesh:D000783	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002940	umls_ingest	2023-09-06
hp:HP:0005294	mesh:D000094665	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002949	umls_ingest	2023-09-06
hp:HP:0001681	mesh:D000787	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002962	umls_ingest	2023-09-06
hp:HP:0001102	mesh:D000793	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002982	umls_ingest	2023-09-06
hp:HP:0001014	mesh:D000794	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002985	umls_ingest	2023-09-06
hp:HP:0001071	mesh:D000795	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002986	umls_ingest	2023-09-06
hp:HP:0100665	mesh:D000799	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002994	umls_ingest	2023-09-06
hp:HP:0000970	mesh:D007007	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003028	umls_ingest	2023-09-06
hp:HP:0000526	mesh:D015783	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003076	umls_ingest	2023-09-06
hp:HP:0009916	mesh:D015875	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003079	umls_ingest	2023-09-06
hp:HP:0012803	mesh:D015858	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003081	umls_ingest	2023-09-06
hp:HP:0031013	mesh:D000844	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003090	umls_ingest	2023-09-06
hp:HP:0030784	mesh:D000849	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003113	umls_ingest	2023-09-06
hp:HP:0000528	mesh:D000853	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003119	umls_ingest	2023-09-06
hp:HP:0002039	mesh:D000855	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003123	umls_ingest	2023-09-06
