subject_id	object_id	predicate_id	mapping_justification	match_string	mapping_tool	mapping_date
HP:0032155	NCIT:C34331	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0000729	umls_ingest	2023-11-27
HP:0003270	NCIT:C78161	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0000731	umls_ingest	2023-11-27
HP:0031500	NCIT:C34333	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0000734	umls_ingest	2023-11-27
HP:0002027	NCIT:C26682	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0000737	umls_ingest	2023-11-27
HP:0008181	NCIT:C84525	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0000744	umls_ingest	2023-11-27
HP:0034057	NCIT:C2849	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0000768	umls_ingest	2023-11-27
HP:0032224	NCIT:C76245	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0000778	umls_ingest	2023-11-27
HP:0030449	NCIT:C92894	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0000820	umls_ingest	2023-11-27
HP:0011419	NCIT:C26685	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0000832	umls_ingest	2023-11-27
HP:0025615	NCIT:C26686	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0000833	umls_ingest	2023-11-27
HP:0100792	NCIT:C54252	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0000887	umls_ingest	2023-11-27
HP:0000956	NCIT:C26687	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0000889	umls_ingest	2023-11-27
HP:0032448	NCIT:C2850	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0001075	umls_ingest	2023-11-27
HP:0001941	NCIT:C83504	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0001122	umls_ingest	2023-11-27
HP:0003128	NCIT:C98969	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0001125	umls_ingest	2023-11-27
HP:0001947	NCIT:C28129	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0001126	umls_ingest	2023-11-27
HP:0005972	NCIT:C50728	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0001127	umls_ingest	2023-11-27
HP:0033794	NCIT:C84533	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0001206	umls_ingest	2023-11-27
HP:0001735	NCIT:C95437	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0001339	umls_ingest	2023-11-27
HP:0008207	NCIT:C26689	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0001403	umls_ingest	2023-11-27
HP:0100641	NCIT:C2858	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0001618	umls_ingest	2023-11-27
HP:0000834	NCIT:C26690	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0001621	umls_ingest	2023-11-27
HP:0100631	NCIT:C2859	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0001624	umls_ingest	2023-11-27
HP:0008258	NCIT:C34360	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0001627	umls_ingest	2023-11-27
HP:0034287	NCIT:C98130	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0001733	umls_ingest	2023-11-27
HP:0000718	NCIT:C117262	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0001807	umls_ingest	2023-11-27
HP:0006919	NCIT:C117262	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0001807	umls_ingest	2023-11-27
HP:0010524	NCIT:C84542	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0001816	umls_ingest	2023-11-27
HP:0000756	NCIT:C34362	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0001818	umls_ingest	2023-11-27
HP:0031009	NCIT:C84544	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0001860	umls_ingest	2023-11-27
HP:0006536	NCIT:C50456	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0001883	umls_ingest	2023-11-27
HP:0001022	NCIT:C84543	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0001916	umls_ingest	2023-11-27
HP:0030955	NCIT:C93040	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0001973	umls_ingest	2023-11-27
HP:0001948	NCIT:C37909	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002063	umls_ingest	2023-11-27
HP:0001950	NCIT:C50729	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002064	umls_ingest	2023-11-27
HP:0001596	NCIT:C50575	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002170	umls_ingest	2023-11-27
HP:0002293	NCIT:C50575	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002170	umls_ingest	2023-11-27
HP:0006516	NCIT:C34369	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002390	umls_ingest	2023-11-27
HP:0002511	NCIT:C2866	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002395	umls_ingest	2023-11-27
HP:0000646	NCIT:C118764	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002418	umls_ingest	2023-11-27
HP:0009827	NCIT:C34370	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002447	umls_ingest	2023-11-27
HP:0000141	NCIT:C61443	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0002453	umls_ingest	2023-11-27
